id,teks,stem,cluster,cluster_predict,jarak_euclid,tanggal
2,Selamat Nomor Anda Resmi Mendapatkan Hadiah Ke-2 Cek Tunai 175 Juta Rupiah Kode ID pemenang Untuk Info Hadiah Klik ,null,1,-1,-1,2021/03/20
3,"Assalamualaikum, (BUTUH M0DAL USAHA Dan Lain Lain) MINAT TELEPON ATAU CHAT WHATSAPP: ",null,1,-1,-1,2021/03/20
4,"Pelanggan 085712420668, +1000 KOIN PULSA mu Masih Belum Diambil? Hubungi *858*22# utk Ambil. Bisa Ditukar Pulsa, Sayang Jangan Sampai Hangus. Hubungi *858*22# Sekarang!",null,1,-1,-1,2021/03/20
5,Assalamualaikum butuh pinjaman dana tanpa agunan? 5 juta sampai 500 juta Untuk info chat Whatsapp,null,1,-1,-1,2021/03/20
6,Selamat Anda Mendapatkan Cek Tunai 125 juta rupiah dari LAZADA INDONESIA Dengan PIN Pemenang Untuk Info Klik: ,null,1,-1,-1,2021/03/20
7,Selamat Anda yang telah resmi terpilih sebagai pemenang dari SHOPEE INDONESIA Dengan Kode Pin Untuk info klik : ,null,1,-1,-1,2021/03/20
8,maaf mengganggu waktunya mba/mas kami menawarkan pinjaman berbasis online dengan bunga 02% jika minat Whatsapp ,null,1,-1,-1,2021/03/20
9,"Assalamu alaikum wr,wb. BAPAK/IBU Mohon maaf mengganggu waktunya, jika butu M0DAL Usaha Dan lain lain nya silahkan Chat kami ke WhatsApp :",null,1,-1,-1,2021/03/20
10,Selamat Nomor Anda Resmi Mendapatkan Hadiah Ke-2 Cek Tunai Rp.175 juta Kode ID pemenang Untuk Info Hadiah Klik ,null,1,-1,-1,2021/03/20
11,selamat simcard anda resmi terpilih sebagai pemenang ke 2 dari  PT.LEN INDUSTRI 4G Nomor pin untuk info click: ,null,1,-1,-1,2021/03/20
12,BUTUH MODAL buat usaha kami SIAP membantu dari AGEN PIN-OL aman TERPERCAYA WHATSAPP ,null,1,-1,-1,2021/03/20
13,"Situs ASIATARUHAN Cashback bola 7% Cashback casino 3% +roling 0,8% Rollingan Slot 0,8% Rollingan Poker, Domino 0,5% Whatsapp:",null,1,-1,-1,2021/03/20
14,SHOPEE Selamat Nomor Anda resmi Mendapatkan hadiah Ke-2 cek tunai Rp.175 juta KODE ID PEMENANG: Untuk info hadiah Klik. ,null,1,-1,-1,2021/03/20
15,UNDIAN RESMI!!! SELAMAT NO ANDA TERPILIH JADI PEMENANG KE 2 CEK TUNAI 175 JUTA DENGAN KODE PIN UNTUK INFO HADIAH KILIK: ,null,1,-1,-1,2021/03/20
16,bagi bapak/ibu yang lagi pusing untuk keperluan <UANG> kami siap membantu solusi keuangan anda info lebih lanjut  whatsapp terimakasi,null,1,-1,-1,2021/03/20
17,maaf saya kabari lewat sms apabila kontrakannya masih dilanjutkan pembayarannya lewat adik saya pak Fauzy nomor whatsapp soalnya sudah atas nama dia.,null,1,-1,-1,2021/03/20
18,penyampaian terakhir kepada anda sebagai pemenang ke- 2 shopee12.12 cek 175 juta pin:  untuk info Hadiah Klik;,null,1,-1,-1,2021/03/20
19,SELAMAT!!! Anda telah terpilih sebagai pemenang HADIAH AKHIR TAHUN MOBOINDOSAT Dengan Kode PIN Untuk info klik : ,null,1,-1,-1,2021/03/20
20,selamat nomor anda terpilih mendapatkan hadiah ke- 3 dari PT PERTAMINA dengan kode PIN Untuk info cek langsung di; ,null,1,-1,-1,2021/03/20
21,Selamat...Nomor anda terpilih Sebagai pemenang ke- 2 Rp.100 juta dari Gebyar Hadiah WhatsApp PIN PEMENANG Untuk info klik: ,null,1,-1,-1,2021/03/20
22,Selamat Nomor WhatsApp Anda Meraih Hadiah Cek 175 juta pin Silahkan Cek. pin anda klik. ,null,1,-1,-1,2021/03/20
23,Selamat nomor anda mendapat hadiah Rp175 juta dari shopee indonesia kode id pemenang info klik ,null,1,-1,-1,2021/03/20
24,Selamat !!! Nomor Anda Terpilih Sebagai Pemenang Jutawan SHOPEE Dari Program Undian Awal Tahun Cek Senilai Rp.175 juta PIN: Untuk Info Klik:,null,1,-1,-1,2021/03/20
25,"INFO.... kami dari (KSP sejahtra bersama) mengeluarkan pinjaman berbasis online mulai 5 juta sampai maksimal 500jta, bunga 2% whatsapp amanah...",null,1,-1,-1,2021/03/20
26,Program SHOPEE INDONESIA mengucapkan selamat Nomor Anda Mendapatkan hadiah ke- 2 / 175 juta rupiah ID pemenang info klik: ,null,1,-1,-1,2021/03/20
27,INFO RESMI Selamat Nomor anda Berhasil menang Hadiah Undian 1 Unit Mobil AVANZA VELOZ Periode ke 3 2019 Kode ID : Info klik: ,null,1,-1,-1,2021/03/20
28,"Assalamualaikum wr. wb Butuh DANA, buat modal kami menawarkan pinjaman berbasis ONLINE. TANPA AGUNAN dengan suku bunga 2% 5 juta - 500 juta rupiah Untuk Info Whatsapp : ",null,1,-1,-1,2021/03/20
29,Assalamualaikum yang terhormat Bapak dan Ibu kami dari PT BIMA PINJAMAN Berbasis ONLINE Minimal 5 juta - 500 juta pinjaman Bunga 2% Berminat chat Whatsapp : ,null,1,-1,-1,2021/03/20
30,Anda berkesempatan untuk mendapatkan BONUS PULSA 25 ribu TANPA DIUNDI. Segera cek *123*603*1# dan pilih 1 untuk ambil PULSA GRATIS nya sekarang juga!,null,1,-1,-1,2021/03/20
31,"Selamat!!! Nomor Whatsapp Anda mendapat hadiah ke 2 dari Program Undian PT. WhatsApp Indonesia, Kode PIN. Info klik: ",null,1,-1,-1,2021/03/20
32,Assalamualaikum Selamat Pagi Kami Menawarkan Pinjaman ONLINE Tanpa Anggunan Bunga 2% tahun minimal 5juta - 500juta Chat Whatsapp : ,null,1,-1,-1,2021/03/20
33,"Saya Ibu Gussari, Mau mendapat Uang Ghaib seperti Saya? Kunjungi : Nyata & Terbukti.!!!",null,1,-1,-1,2021/03/20
34,"085712420668 Jangan isi pulsa dulu! Ada PULSA 25 ribu untuk Anda. Segera cek *123*603*1*1#. Jika tidak, bonus PULSA 25 ribu Anda akan HANGUS (berlangganan) ",null,1,-1,-1,2021/03/20
35,"konsumen shopee Anda terpilih, dapat Cek 125 juta Dari undian Shopee kode pin anda Info klik ",null,1,-1,-1,2021/03/20
36,Sekilas info. PT. Pegadaian  menawarkan barang lelangan jatuh tempo kepada anda barang berkualitas 100% asli Original Untuk info klik : ,null,1,-1,-1,2021/03/20
37,iya iya sering gitu wkwk,null,2,-1,-1,2021/03/20
38,"alhamdulillah, gimana gimana",null,2,-1,-1,2021/03/20
39,udah mulai gila,null,2,-1,-1,2021/03/20
40,iya terserah kamu aja.,null,2,-1,-1,2021/03/20
41,cari ga dibeli?,null,2,-1,-1,2021/03/20
42,baru ditinggal subuh,null,2,-1,-1,2021/03/20
43,ayok bobok,null,2,-1,-1,2021/03/20
44,yaudah deh isiin 100 dulu ajaa. nanti kuganti,null,2,-1,-1,2021/03/20
45,lahya lewat apa? transfer?,null,2,-1,-1,2021/03/20
46,bosen idup?,null,2,-1,-1,2021/03/20
47,Boleh minta review dan tag di IG ya kak @caseyvit.co,null,2,-1,-1,2021/03/20
48,biar nanti bisa dibuat review,null,2,-1,-1,2021/03/20
49,ya ampun penuh revisi ya,null,2,-1,-1,2021/03/20
50,Masa revisi banyak?,null,2,-1,-1,2021/03/20
51,Bapaknya revisi terus,null,2,-1,-1,2021/03/20
52,"Gak papa, aku revisi",null,2,-1,-1,2021/03/20
53,Habis sidang butuh REVISI,null,2,-1,-1,2021/03/20
54,Udah di revisi skripsi kamu?,null,2,-1,-1,2021/03/20
55,Udah di revisi itu berarti,null,2,-1,-1,2021/03/20
56,Revisi nya banyak apa sedikit emang?,null,2,-1,-1,2021/03/20
57,Apa gak ada revisi kali sa,null,2,-1,-1,2021/03/20
58,Wkwk aku belum revisi,null,2,-1,-1,2021/03/20
59,"emang, cuma kita yang revisi",null,2,-1,-1,2021/03/20
60,Karna dia gak minta revisi ke gue,null,2,-1,-1,2021/03/20
61,Gak sih cuma ada rivisian tugas Literasi Informasi,null,2,-1,-1,2021/03/20
62,Wkwk mesti sekarang lagi buat tugas lagiðŸ˜‚,null,2,-1,-1,2021/03/20
63,Tugas mu lah wk,null,2,-1,-1,2021/03/20
64,Gapapa bantuin tugasku aja wkwk,null,2,-1,-1,2021/03/20
65,Apa tugas yang sebelum uts itu dikumpulin lagi ya?,null,2,-1,-1,2021/03/20
66,Tapi tugas lu kaga normal,null,2,-1,-1,2021/03/20
67,Mesti dibilangnya ini kan tugas harus yang bagus wkwk,null,2,-1,-1,2021/03/20
68,Tugas kemarin gak diperiksa dong:(,null,2,-1,-1,2021/03/20
69,Setiap kali kuliah tuh dia pasti ngasih tugas del jadi kitanya malah jadi tambah males,null,2,-1,-1,2021/03/20
70,Itulah tugas agen rahasia,null,2,-1,-1,2021/03/20
71,Yaallah tugas terus,null,2,-1,-1,2021/03/20
72,Sumpah tugas banyak kondisi gini tuh nikmat kali ,null,2,-1,-1,2021/03/20
73,tugas yang dihindari semua siswa dan mahasiswa wkwk,null,2,-1,-1,2021/03/20
74,Aku baru inget ada tugas network management,null,2,-1,-1,2021/03/20
75,Untung network management gak ada tugas,null,2,-1,-1,2021/03/20
76,yaudah ayok bagi tugas,null,2,-1,-1,2021/03/20
77,Kan itu tugas kelompok sa,null,2,-1,-1,2021/03/20
78,"Tapi jangan sekarang, aku lagi buat tugas",null,2,-1,-1,2021/03/20
79,Masa cuma foto tugas doang? Wkwk,null,2,-1,-1,2021/03/20
80,Tugasnya gak penting,null,2,-1,-1,2021/03/20
81,Judul tugas akhir mu,null,2,-1,-1,2021/03/20
82,Sana buat tugas ,null,2,-1,-1,2021/03/20
83,Ada tugasnya juga,null,2,-1,-1,2021/03/20
84,Kaya template tugas akhir sa,null,2,-1,-1,2021/03/20
85,Tugas ku deadline deadlineðŸ˜‚,null,2,-1,-1,2021/03/20
86,Jangan nunggu deadline ini bukan tugas ðŸ‘Œ,null,2,-1,-1,2021/03/20
87,Kerjain tugas,null,2,-1,-1,2021/03/20
88,Iya kan elu tau gue masih sering tulis tangan tugasnya,null,2,-1,-1,2021/03/20
89,Tugas gue nitip,null,2,-1,-1,2021/03/20
90,Lagi berjuang kirim tugas,null,2,-1,-1,2021/03/20
91,Selamat malam tugas,null,2,-1,-1,2021/03/20
92,"Bingung ngurus skripsi, magang, kado kenangan magang, tugas",null,2,-1,-1,2021/03/20
93,Pusing mikir tugas ðŸ˜‚,null,2,-1,-1,2021/03/20
94,Padahal itu tugas daring aja bisa sa,null,2,-1,-1,2021/03/20
95,Tidak jadi besok saja ngerjain tugasnya,null,2,-1,-1,2021/03/20
96,tapi nilai tugasnya kurang wkwkw,null,2,-1,-1,2021/03/20
97,Ada tugas woy,null,2,-1,-1,2021/03/20
98,Tugas kampus?,null,2,-1,-1,2021/03/20
99,Tugas kelompok,null,2,-1,-1,2021/03/20
100,"Yang ini gue balas gini ""Maksudnya gak ada daring gimana ya bu? Kok ini masih ada tugas?""",null,2,-1,-1,2021/03/20
101,Gue kan bilang tugasnya jangan kelamaan bu ngasihnya,null,2,-1,-1,2021/03/20
102,Tapi nyata nya tuh hari ini masih ada tugas,null,2,-1,-1,2021/03/20
103,Tugas apalagi saa,null,2,-1,-1,2021/03/20
104,Sesuai tugas sa wkwk,null,2,-1,-1,2021/03/20
105,Kayanya nya tugas terus deh,null,2,-1,-1,2021/03/20
106,Emang liburan elu gak ada tugas?,null,2,-1,-1,2021/03/20
107,tugas uas sidang,null,2,-1,-1,2021/03/20
108,tugas terakhir paling get,null,2,-1,-1,2021/03/20
109,Gue udah tuntas semua tugasnya. Gak ada tugas sama sekali,null,2,-1,-1,2021/03/20
110,Tugas bersifat individu bukan kelompok,null,2,-1,-1,2021/03/20
111,Itu nilai 25% tugasnya. Wajib submit ya,null,2,-1,-1,2021/03/20
112,Kan ini tugas dulu hehe,null,2,-1,-1,2021/03/20
113,"2 tugas, kejar materi",null,2,-1,-1,2021/03/20
114,Tugas ?,null,2,-1,-1,2021/03/20
115,Iya ya malah pindah tugas lain,null,2,-1,-1,2021/03/20
116,Ai mu tugas udah ?,null,2,-1,-1,2021/03/20
117,Kamu lagi ngerjain tugas,null,2,-1,-1,2021/03/20
118,Ada tugas apalagi?,null,2,-1,-1,2021/03/20
119,tugas nya apa saja,null,2,-1,-1,2021/03/20
120,Apa tugas ?,null,2,-1,-1,2021/03/20
121,Libur tapi tugas engga,null,2,-1,-1,2021/03/20
122,ngerjain tugas mas,null,2,-1,-1,2021/03/20
123,Tugas terus,null,2,-1,-1,2021/03/20
124,Lagi mikirin tugas,null,2,-1,-1,2021/03/20
125,Tugas kerjain,null,2,-1,-1,2021/03/20
126,Tugas 2 belum,null,2,-1,-1,2021/03/20
127,Itu tugas apa?,null,2,-1,-1,2021/03/20
128,Gak ada tugas gue,null,2,-1,-1,2021/03/20
129,Gak boleh di sayang,null,2,-1,-1,2021/03/20
130,Udah sering di sayang nih hahaha,null,2,-1,-1,2021/03/20
131,Allah tu masih sayang sama kita,null,2,-1,-1,2021/03/20
132,Kamu sayang sama diri kamu sendiri?,null,2,-1,-1,2021/03/20
133,Tapi sayang jodohku bukan kamu,null,2,-1,-1,2021/03/20
134,Kan aku sayangnya sama kamu,null,2,-1,-1,2021/03/20
135,Astagfirullah engga sayang,null,2,-1,-1,2021/03/20
136,Di sayang nya kapan,null,2,-1,-1,2021/03/20
137,Kenalan doang sih gak di sayang,null,2,-1,-1,2021/03/20
138,Tapi kan sama yang lain sayangðŸ˜‚,null,2,-1,-1,2021/03/20
139,Gapapa sayang yang penting udah bilang,null,2,-1,-1,2021/03/20
140,Yang ada sayang kamu,null,2,-1,-1,2021/03/20
141,Maaf Menggangu Waktunya Kami Menawarkan Pinjaman Berbasis Online Murah & Cepat Minimal 5 juta - 500 juta Untuk info Hubungi : WhatsApp:,null,1,-1,-1,2021/03/20
142,Surat keputusan resmi dari PT.LAZADA 11:11 Anda mendapatkan cek Tunai Kode ID Info lengkap klik : ,null,1,-1,-1,2021/03/20
143,Penawaran Pinjaman proses Mudah dan Cepat Mulai pinjaman 5 juta sampai dengan 250 juta Untuk Info Hubungi kami : WhatsApp ,null,1,-1,-1,2021/03/20
144,assalamualaikum maaf lewat sms apabila kontrakannya masih lanjut pembayarannya lewat adik saya pak herman nomor whatsapp soalnya sudah atas nama dia,null,1,-1,-1,2021/03/20
145,"Daftar dan main P-ker , Ding-Dong HKB, To-GeL Cambodia Slot-Games online, CASIN0 & SBO Bola online di raih jackpot setiap hari!!",null,1,-1,-1,2021/03/20
146,Segala jenis games Judi Online dapat anda temukan pada beberapa situs terpercaya berikut ini! silakan klik dan lakukan pendaftaran ID anda,null,1,-1,-1,2021/03/20
147,Pelanggan Yang Terhormat. Anda Memiliki +1000 Koin Pulsa Sejak Tanggal 30/09/2020. Silakan Hubungi *500*42# untuk Ambil Kembali. Hubungi *500*42# dan Pilih 1 YA Sekarang Sebelum Hangus.,null,1,-1,-1,2021/03/20
148,"Domino, Three kings, OM4HA PK3R, CEM3 Anda bisa jadi Bandar di sini! Ada Bola sbobet, C4sino, SL0TGAM3S Live 12Ball,T063L japan dan lain lain BatikPK3R ",null,1,-1,-1,2021/03/20
149,"yang terhormat bapak dan ibu kami menawarkan pinjaman online bunga 0,2%/ tahun untuk info whatsapp: ",null,1,-1,-1,2021/03/20
150,Assalamualaikum Yang Terhormat Bapak atau Ibu Kami Tawarkan Pinjaman bunga 2% 5 JUTA / 500 JUTA Amanah 2 minat whatsapp,null,1,-1,-1,2021/03/20
151,"Segera..!! Dapatkan Kacamata X-ray Bisa Tembus Pandang Seperti: Pakaian, Logam, Keramik, Batok, Tembok Made in ENGL4ND Info Pemesanan WhatsApp : ",null,1,-1,-1,2021/03/20
152,"Main live casino, sportsbook, C3M3, Pker dan Slot games Dengan promo Hingga 7,5 Miliar di INDOT093L Tanggal Ada live 36 ball & T093L Sydney. Join Yuk!",null,1,-1,-1,2021/03/20
153,"Yang Terhormat Bapak atau Ibu Promo Terbatas !!! Agunkan Surat Kendaraan Anda Segera,, Bisa TakeOver, Rate Mulai 0,8%, Dibantu Sampai Cair Hubungi WhatsApp ANA ",null,1,-1,-1,2021/03/20
154,DI RUMAH AJA dapatkan Pinjaman usaha mulai 5 juta sampai dengan 500 juta ,null,1,-1,-1,2021/03/20
155,"Pelanggan, +1000 COIN PULSA mu Belum Diambil? Hubungi *500*42# untuk Ambil. Bisa Ditukar Pulsa, Jangan Sampai Hangus! Hubungi *500*42# & Pilih 1 YA Sekarang!",null,1,-1,-1,2021/03/20
156,Penyampaian Terakhir Dari LAZADA. Selamat! Kepada Anda Mendapatkan Hadiah GEBYAR PROMO Rp. 175 juta Untuk Info Klik:,null,1,-1,-1,2021/03/20
157,Nomor anda terpilih mendapatkan Rp.125 juta program tahunan REJEKI SHOPEE 2020 Code ID Untuk cara pengambilan klik: ,null,1,-1,-1,2021/03/20
158,"butuh modal usaha kami menawarkan pinjaman tanpa survey dan agunan CARA Kartu Keluarga, KTP, BUKU TABUNGAN",null,1,-1,-1,2021/03/20
159,"PINJAMAN SISTEM ONLINE CAIR CEPAT TANPA POTONGAN BIAYA, SYARAT : FOTO KTP / SELFIE AJUKAN SEKARANG!! UNTUK INFO ADMIN KAMI :",null,1,-1,-1,2021/03/20
160,Assalamualaikum Yang Terhormat kepada Bapak atau Ibu Kami Menawarkan pinjaman dan dengan Bunga 2% / Tanpa agunan Untuk info jelasnya; chat whatsapp,null,1,-1,-1,2021/03/20
161,"September Ceria Raih Jutaan Rupiah di Ey4nGPker Main Pk3r, BlackJack, Adu Q Togel Japan, Sbobet, Live48 ball, Casino. Ayo Daftar!",null,1,-1,-1,2021/03/20
162,Info pemasangan CCTV Amankan rumah secara online Hubungi Sony Call whatsapp klik,null,1,-1,-1,2021/03/20
163,"10 ribu saja main Pk3r, C3M3, BLackJack Togel singapore, Sbobet, Live casino, Live 36D Di J4Y4PKER bonusnya jutaan rupiah Ayo Gabung sekarang juga!",null,1,-1,-1,2021/03/20
164,Info Tahun 2020 anda mendapatkan hadiah Rp 175.000.000 dari LAZADA pin Untuk cara pengambilan klik :,null,1,-1,-1,2021/03/20
165,"AYO SEGERA GABUNG Program Investasi Titipan 600 GET 7 JUTA, 1 JUTA GET 15 JUTA, 1,5 JUTA GET 32 JUTA, 2 JUTA GET 40 JUTA, 4 JUTA GET 80 JUTA, 5 JUTA GET 95 JUTA INFO: ",null,1,-1,-1,2021/03/20
166,Assalamualaikum selamat pagi? kepada saudara koperasi kami menawarkan pinjaman minimal 5 juta - 500 juta bunga 2% proses cepat untuk info selengkapnya chat WhatsApp :,null,1,-1,-1,2021/03/20
167,"PINJAMAN TUNAI GADAI BPKB MOBIL / MOTOR BFI FINANCE MURAH, AMAN, TERPERCAYA, DISELURUH INDONESIA HUBUNGI RIZKYA TELPON / WHATSAPP",null,1,-1,-1,2021/03/20
168,"BUTUH MODAL USAHA syarat mudah, cepat & amanah melayani seluruh Indonesia Cara Pengajuan Hubungi ADMIN WhatsApp :",null,1,-1,-1,2021/03/20
169,"Pelanggan, +1000 COIN PULSA mu Belum Diambil? Hubungi *500*42# untuk Ambil. Bisa Ditukar Pulsa, Jangan Sampai Hangus. Hubungi *500*42# Sekarang.",null,1,-1,-1,2021/03/20
170,"10 ribu saja main Pk3r, C3M3, BLackJack TOGEL singapore, Sbobet, Live casino, Live 36D Di J4Y4PKER bonusnya jutaan rupiah Ayo Gabung sekarang juga !!!",null,1,-1,-1,2021/03/20
171,"""INFO TERAKHIR !!! Selamat Anda Mendapatkan Cek Tunai Rp. 175 juta. Dari GEBYAR_LAZADA . Kode ID Pemenang Anda untuk info lebih Lanjut Silahkan Klik:",null,1,-1,-1,2021/03/20
172,"BUTUH MODAL USAHA DAN SEBAGAINYA! MENAWARKAN PINJAMAN ONLINE PROSES MUDAH DAN CEPAT, PENGAJUAN 5 JUTA - 500 JUTA INFO WhatsApp",null,1,-1,-1,2021/03/20
173,Yang Terhormat BAPAK DAN IBU ANDA BOSAN PENGHASILAN ANDA SEKARANG INGIN BERPENGHASIN 5 JUTA - 25 JUTA/ HARI UNTUK INFO WhatsApp :,null,1,-1,-1,2021/03/20
174,INFO PINJAMAN DANA ONLINE. PROSES MUDAH / CEPAT. PINJAMAN MINIMAL 5 JUTA - 500 JUTA BUNGA RENDAH 2% TAHUN MINAT WHATSAPP,null,1,-1,-1,2021/03/20
175,BAPAK / IBU MAAF MENGGANGU KAMI DISINI Menawarkan pinjaman Proses Cepat Tanpa Agunan Minat Hubungi WhatsApp,null,1,-1,-1,2021/03/20
176,"Butuh Pinjaman Cepat Tanpa Ribet Tanpa Survey & Agunan Minimal 5 juta - 500 juta, Proses Mudah & Aman, Ajukan Pinjaman Sekarang juga, Info WhatsApp :",null,1,-1,-1,2021/03/20
177,"bapak / ibu kami menawarkan pinjaman berbasis online tanpa agunan bunga 2% / tahun Amanah, 2 dan terpercaya dengan pinjaman 5 juta - 500 juta WhatsApp : ",null,1,-1,-1,2021/03/20
178,konsumen shopee anda dapat hadiah 125 juta dari SHOPEE kode pin anda Untuk info klik. ,null,1,-1,-1,2021/03/20
179,"Jayapker pilihan terbaik main domino ceme pker, dingdong TOGEL, taruhan bola dan casino Dapatkan bonus jutaan sekarang daftar klik ",null,1,-1,-1,2021/03/20
180,selamat anda mendapatkan hadiah dari shopee indonesia pin hadiah anda Info hadiah klik. ,null,1,-1,-1,2021/03/20
181,"SAATNYA ANDA pasang CCTV online AWASI rumah, toko & kantor cukup dari HP dirumah ANDA INFO WhatsApp",null,1,-1,-1,2021/03/20
182,ASSALAMUALAIKUM Bapak / Ibu Yang Terhormat Dapatkan penawaran kredit tanpa agunan minimal 5 juta - 500 juta minat silahkan chat whatsapp kami: ,null,1,-1,-1,2021/03/20
183,ASSALAMUALAIKUM Bapak / Ibu Yang Terhormat Dapatkan penawaran kredit tanpa agunan minimal 5 juta - 500 juta minat silahkan chat whatsapp kami: ,null,1,-1,-1,2021/03/20
184,"Modal 10 ribu di Horaspker Sudah bisa main pker, ceme, aduq, Bolatangkas, domino, DINGDONG Sicbo Ada juga TOGEL Singapore dan Sportsbook dan lain lain",null,1,-1,-1,2021/03/20
185,Butuh biaya tambahan untuk modal usaha Dll Info WA 081563916437,null,1,-1,-1,2021/03/20
186,"TRI JAYA CELL. Cari Agen Pulsa, Data, Token Harga: ALL OPERATOR. V5= 4200, V10= 8400, V20= 16800, V50= 42000 Minat Ketik: DAFTAR# NAMA# KOTA# NOMOR. HP SMS / WHATSAPP Ke",null,1,-1,-1,2021/03/20
187,"Raih jackpot hingga 40 juta game Pker di RgoPker ada juga Domino, Ceme, adu q, Bola Tangkas TOGEL Japan, Live 36D Ball, Sportsbook dan lain lain",null,1,-1,-1,2021/03/20
188,INFO PINJAMAN ONLINE Kami menawarkan pinjaman diseluruh wilayah indonesia Proses mudah dan cepat bunga cuma 2% Minimal 5 juta - 500 juta minat chat WhatsApp,null,1,-1,-1,2021/03/20
189,"PT. RECOVERY Hadir membuka Program Investasi 600 GET 7 juta, 1 juta GET 15 juta, 1,5 juta GET 32 juta, 2 juta GET 40 juta, 4 juta GET 80 juta, 5 juta GET 95 juta klik : ",null,1,-1,-1,2021/03/20
190,"ASSALAMUALAIKUM Yang Terhormat Bapak / Ibu. kami dari ksp nasari menawarkan pinjaman bebasis online, Minimal Pinjaman RP. 5 juta - 250 juta 1 tahun sampai dengan 5 tahun Untuk Info chat di WhatsApp ",null,1,-1,-1,2021/03/20
191,PESAN RESMI SELAMAT! Nomor anda resmi mendapatkan hadiah ke- 2 Rp. 150 juta dari PT. SHOPEE PIN: pemenang Untuk Info klik:,null,1,-1,-1,2021/03/20
192,"Bonus Member Baru 100%, Depo 100 ribu bonus 100 ribu Sportsbook, bonus depo 10%. Daftar sekarang Klik yuk Main Slot Games & Live Kasino",null,1,-1,-1,2021/03/20
193,ASSALAMUALAIKUM MOHON MAAF ANDA BUTUH KREDIT BUNGA KECIL MINIMAL PINJAMAN. 5 JUTA - 500 JUTA INFO NOMOR / WHATSAPP:,null,1,-1,-1,2021/03/20
194,"HOT NEWS !! Gitarpker hadir dengan berbagai promo & permainan pker, Ceme, pker Dealer, Domino, Adu Q TOGEL japan, DINGDONG 36D dan lain lain",null,1,-1,-1,2021/03/20
195,"Kami Dari KSP Menawarkan Pinjaman Mulai Rp 5 juta Sampai Rp 500 juta, Bunga 2% /tahun Tanpa Agunan, Proses Mudah / Cepat, WhatsApp :",null,1,-1,-1,2021/03/20
196,"saya FAHRY di malaysia ingin pindahkan dana RM 2 Juta untuk bekal hidup di indonesia, saya butuh orang terpercaya yang bisa membantu saya jika bersedia whatsapp",null,1,-1,-1,2021/03/20
197,"PT.MUTIARA BERJANGKA menawarkan program Investasi jangka pendek 20% sampai 40% per 7 hari, Kunjungi Web Kami WhatsApp",null,1,-1,-1,2021/03/20
198,"Marketplace Nomor 1 Pelanggan Yang Terhormat, Anda mendapatkan Hadiah gebyar Shopee total Rp. 125 juta Nomor ID (ID berlaku 1x24 jam) Info kunjungi",null,1,-1,-1,2021/03/20
199,Cara Tepat Menghasilkan Uang Mulai 5 juta Hingga 100 juta Mengalir Terus Setiap Hari. HIDUP MAPAN TANPA BEBAN Segera Bergabung..? Untuk info Klik,null,1,-1,-1,2021/03/20
200,"PROMO CUCI GUDANG!!! Dapatkan potongan harga 50% untuk pembelian produk HP Samsung, Vivo, Oppo, Xiaomi, 100% original dan bergaransi resmi. Yuk  Klik",null,1,-1,-1,2021/03/20
201,Dapatkan Pinjaman Secara Online Mulai Dari 5 juta hingga 500 juta bunga hanya 2% Tanpa ribet & cepat Cair proses 15 menit...!!! info WhatsApp,null,1,-1,-1,2021/03/20